Object_ID,Geographic_Identifier_-_FIPS_Code,Area_of_Land_(Square_Meters),Area_of_Water_(Square_Meters),Name,State,County,Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range),Median_Household_Income_in_past_12_months_(inflation-adjusted_dollars_to_last_year_of_5-year_range)_-_Margin_of_Error,"Median_Household_Income_in_past_12_months,_Householder_under_25_years","Median_Household_Income_in_past_12_months,_Householder_under_25_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years","Median_Household_Income_in_past_12_months,_Householder_25_to_44_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years","Median_Household_Income_in_past_12_months,_Householder_45_to_64_years_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over","Median_Household_Income_in_past_12_months,_Householder_65_years_and_over_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder","Median_Household_Income_in_past_12_months,_Black_or_African_American_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder","Median_Household_Income_in_past_12_months,_American_Indian_and_Alaska_Native_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder","Median_Household_Income_in_past_12_months,_Asian_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder","Median_Household_Income_in_past_12_months,_Native_Hawaiian_and_Other_Pacific_Islander_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder","Median_Household_Income_in_past_12_months,_Some_Other_Race_Alone_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_2_or_More_Races_Householder","Median_Household_Income_in_past_12_months,_2_or_More_Races_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_White_Alone,_Not_Hispanic_Householder","Median_Household_Income_in_past_12_months,_White_Alone,_Not_Hispanic_Householder_-_Margin_of_Error","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder","Median_Household_Income_in_past_12_months,_Hispanic_or_Latino_Householder_-_Margin_of_Error",Total_Households,Total_Households_-_Margin_of_Error,Households_with_any_self-employment_income_in_past_12_months,Households_with_any_self-employment_income_in_past_12_months_-_Margin_of_Error,Households_with_no_self-employment_income_in_past_12_months,Households_with_no_self-employment_income_in_past_12_months_-_Margin_of_Error,Percent_of_households_with_any_self-employment_income,Percent_of_households_with_any_self-employment_income_-_Margin_of_Error,Shape_Area,Shape_Length
2903,12001001908,270279326,6435909,Census Tract 19.08,Florida,Alachua County,37843,6429,23542,9358,39926,14029,49402,13040,28614,4421,25784,6451,0,0,0,0,0,0,0,0,0,0,47734,9254,37500,26140,1714,161,104,51,1610,164,6.1,2.920399239,368678948.5,91268.69298
2904,12001002000,318381403,87035597,Census Tract 20,Florida,Alachua County,34589,6612,15372,16628,31094,15130,54000,20314,29183,8690,29554,11103,0,0,0,0,0,0,0,0,0,0,36302,8685,28281,100552,2033,186,112,56,1921,196,5.5,2.708043438,538015720.1,119220.3497
2905,12001002101,166318606,82334235,Census Tract 21.01,Florida,Alachua County,43500,9721,0,0,35417,26514,44875,9564,45714,25238,24350,23093,0,0,0,0,0,0,0,0,89583,155117,48125,13680,55096,32138,814,73,101,44,713,77,12.4,5.289632072,329599612.1,137229.3942
2906,12001002102,57799943,16109954,Census Tract 21.02,Florida,Alachua County,56607,9185,0,0,55357,15976,63750,23198,43542,13468,25625,17447,0,0,0,0,0,0,0,0,0,0,59239,6052,0,0,392,53,44,22,348,52,11.2,5.403165058,97926928.09,48606.33478
2907,12001002201,86997873,923354,Census Tract 22.01,Florida,Alachua County,61949,7667,68051,36150,75500,37227,59740,9901,44750,28560,35083,40506,0,0,122656,166163,0,0,0,0,0,0,66306,6154,39511,70475,1795,139,150,58,1645,130,8.4,3.165736807,116904486,45010.65755
2908,12001002202,112550918,10405,Census Tract 22.02,Florida,Alachua County,72654,16459,0,0,93191,27050,88879,22167,47500,15743,55089,46696,0,0,181750,83235,0,0,0,0,0,0,67692,18333,73750,98016,2337,132,217,113,2120,153,9.3,4.806731242,149430830.3,51226.58065
2909,12001002204,32305736,52844,Census Tract 22.04,Florida,Alachua County,73864,8416,0,0,70880,18653,81016,10735,59605,11355,54943,14160,0,0,66389,29193,0,0,0,0,72543,43902,81521,7428,73621,43794,4059,290,326,146,3733,295,8,3.550878993,43019497.45,29319.56355
2910,12001002205,25057699,1319,Census Tract 22.05,Florida,Alachua County,85757,14269,49318,38549,97974,13762,110257,21651,58878,11970,46083,32065,0,0,146250,57431,0,0,155972,146790,0,0,87500,18754,58940,38712,4179,184,478,182,3701,241,11.4,4.325892111,33264672.31,24785.40237
2911,12001002207,5274445,10519,Census Tract 22.07,Florida,Alachua County,99559,11624,0,0,138289,15544,105956,13310,63750,29823,65231,28587,0,0,166250,67087,0,0,0,0,0,0,91477,17744,122063,28329,1350,107,111,48,1239,110,8.2,3.495322452,7020892.961,11279.54619
2912,12001002208,10500229,35041,Census Tract 22.08,Florida,Alachua County,123500,26123,0,0,108550,24066,172500,31150,70764,28017,0,0,0,0,179531,177773,0,0,0,0,0,0,112228,27684,111458,76644,950,66,160,56,790,73,16.8,5.7774413,13995736.2,14993.9713
2913,12001002209,123538144,3403087,Census Tract 22.09,Florida,Alachua County,73060,15344,8488,10806,82538,17939,88387,27389,38963,7700,17306,30883,0,0,103365,59906,0,0,0,0,17708,31651,82426,15387,55579,13306,2913,184,278,119,2635,204,9.5,4.040414701,168243286.5,57894.47135
2914,12001002210,148112103,6700233,Census Tract 22.10,Florida,Alachua County,54225,8358,0,0,53980,15986,60409,14341,31650,8077,52132,7094,0,0,0,0,0,0,0,0,0,0,58850,10883,46875,42104,1547,172,110,66,1437,178,7.1,4.192433809,205515394.1,77587.9878
2915,12001002217,1675224,8318,Census Tract 22.17,Florida,Alachua County,23571,11008,21453,6255,31622,8982,20000,7319,22200,77699,20692,11758,0,0,18304,34904,0,0,0,0,0,0,31500,7348,40481,49798,2416,204,141,105,2275,215,5.8,4.317998552,2236723.566,8153.371596
2916,12001002218,1645372,0,Census Tract 22.18,Florida,Alachua County,33879,6793,27417,14838,38365,21459,33250,24881,9526,26456,20774,6100,0,0,0,0,0,0,0,0,0,0,58000,27407,36136,18467,760,96,31,29,729,102,4.1,3.78084405,2185552.592,6378.791255
2917,12001002219,8279650,1424753,Census Tract 22.19,Florida,Alachua County,38601,2978,37542,27355,39821,3319,42969,10727,21667,14285,34583,18386,0,0,158875,157549,0,0,0,0,22222,121675,40922,3441,20278,26082,2359,225,121,61,2238,229,5.1,2.539139862,12885671.05,14975.82173
2918,12001002220,19266210,3009676,Census Tract 22.20,Florida,Alachua County,46932,20351,11750,5189,56364,17534,52500,37817,34375,23197,24063,18936,0,0,0,0,0,0,0,0,0,0,57065,28757,51250,88044,875,70,64,46,811,76,7.3,5.224476898,29560243.69,24703.53467
2919,12001110800,6778442,34116,Census Tract 1108,Florida,Alachua County,68750,14182,19375,8901,60000,35364,109750,27610,72000,17140,19531,416839,0,0,0,0,0,0,0,0,0,0,73708,9028,23162,2810,867,81,70,33,797,82,8.1,3.730737723,9043430.98,14135.54304
